entry,expiry,dte,vix,spot,sp,sc,lp,lc,credit,exp_spot,result,pnl_pts,pnl_inr
2023-08-29,2023-09-28,30,12.2,19343,18850.0,19800.0,,,145.3,19524,WIN,141.3,9184
2023-11-28,2023-12-28,30,12.2,19890,19400.0,20400.0,,,142.3,21779,STOP,-308.6,-20057
2023-12-26,2024-01-25,30,14.7,21441,20750.0,22150.0,,,221.1,21353,WIN,217.1,14112
2024-01-30,2024-02-29,30,16.1,21522,20750.0,22300.0,,,236.2,21983,WIN,232.2,15090
2024-02-27,2024-03-28,30,15.7,22198,21450.0,22950.0,,,223.2,22327,WIN,219.2,14245
2024-03-26,2024-04-25,30,12.8,22005,21350.0,22700.0,,,190.3,22570,WIN,186.3,12110
2024-04-30,2024-05-30,30,12.9,22605,21950.0,23250.0,,,194.0,22489,WIN,190.0,12350
2024-05-28,2024-06-27,30,24.2,22888,21750.0,24050.0,,,362.3,24044,WIN,358.3,23290
2024-06-25,2024-07-25,30,14.3,23721,22950.0,24500.0,,,219.9,24406,WIN,215.9,14037
2024-07-30,2024-08-29,30,12.9,24857,24200.0,25550.0,,,211.0,25152,STOP,-451.0,-29315
2024-08-27,2024-09-26,30,13.6,25018,24300.0,25700.0,,,209.9,26216,LOSS,-310.1,-20160
2024-10-29,2024-11-28,30,14.5,24467,23650.0,25250.0,,,244.2,23914,WIN,240.2,15610
2024-11-26,2024-12-26,30,15.3,24194,23450.0,24950.0,,,234.9,23750,WIN,230.9,15005
2024-12-31,2025-01-30,30,14.4,23645,22850.0,24400.0,,,244.4,23250,WIN,240.4,15623
2025-01-28,2025-02-27,30,18.2,22957,22000.0,23950.0,,,286.8,22545,WIN,282.8,18379
2025-02-25,2025-03-27,30,13.7,22548,21850.0,23250.0,,,197.2,23592,LOSS,-148.8,-9669
2025-04-01,2025-04-30,29,13.8,23166,22500.0,23900.0,,,205.3,24334,STOP,-552.7,-35924
2025-04-29,2025-05-29,30,17.4,24336,23450.0,25200.0,,,287.4,24834,WIN,283.4,18421
2025-05-27,2025-06-26,30,18.5,24826,23900.0,25800.0,,,306.0,25549,WIN,302.0,19627
2025-07-01,2025-07-31,30,12.5,25542,24850.0,26250.0,,,218.8,24768,WIN,133.1,8651
2026-01-27,2026-02-24,28,14.4,25175,24350.0,26000.0,,,246.1,25425,WIN,242.1,15733
2026-03-24,2026-04-28,35,24.7,22912,21500.0,24350.0,,,451.8,23996,WIN,447.8,29104
2026-04-28,2026-05-26,28,18.1,23996,23100.0,24900.0,,,287.6,23914,WIN,283.6,18437
