entry_dt,exit_dt,symbol,side,result,entry,sl,tp,exit,qty,bars,pnl_r,pnl_inr
2024-09-04 06:45,2024-09-06 03:45,NIFTY,long,loss,25165.78,25004.23,25569.64,25004.23,6.1902,11,-1.388,-1387.95
2024-10-10 08:45,2024-10-21 03:45,BANKNIFTY,short,loss,51505.73,52336.58,49428.62,52336.58,1.2036,44,-1.156,-1156.48
2024-10-28 06:45,2024-11-13 03:45,NIFTY,short,win,24409.34,24687.43,23714.12,23714.12,3.596,75,2.395,2395.17
2024-11-22 04:45,2024-11-25 03:45,BANKNIFTY,short,loss,50714.23,51568.3,48579.06,51568.3,1.1709,6,-1.15,-1149.95
2024-11-19 07:45,2024-11-25 03:45,NIFTY,short,loss,23695.5,23970.37,23008.32,23970.37,3.6381,17,-1.217,-1217.02
2024-12-27 05:45,2025-01-02 06:45,NIFTY,short,loss,23833.33,24072.13,23236.32,24072.13,4.1876,29,-1.251,-1251.01
2025-01-16 08:45,2025-01-31 07:45,NIFTY,short,loss,23298.0,23506.45,22776.85,23506.45,4.7971,76,-1.281,-1280.91
2025-01-15 05:45,2025-02-01 03:45,BANKNIFTY,short,loss,48895.94,49742.0,46780.8,49742.0,1.182,89,-1.146,-1145.98
2025-02-19 04:45,2025-02-28 06:45,NIFTY,short,win,22960.61,23264.13,22201.82,22201.82,3.2947,44,2.41,2409.72
2025-03-13 04:45,2025-03-18 03:45,NIFTY,short,loss,22508.39,22727.48,21960.66,22727.48,4.5643,13,-1.258,-1258.33
2025-02-27 05:45,2025-03-18 09:45,BANKNIFTY,short,loss,48851.16,49345.65,47614.95,49345.65,2.0223,88,-1.248,-1248.48
2025-03-28 07:45,2025-04-01 04:45,NIFTY,long,loss,23515.05,23262.53,24146.36,23262.53,3.9601,4,-1.231,-1231.3
2025-05-08 08:45,2025-05-09 03:45,NIFTY,long,loss,24321.3,24111.86,24844.92,24111.86,4.7745,2,-1.289,-1288.8
2025-05-22 03:45,2025-06-06 04:45,BANKNIFTY,long,win,54877.22,54237.29,56477.06,56477.06,1.5627,78,2.397,2396.59
2025-06-11 03:45,2025-06-12 07:45,BANKNIFTY,long,loss,56649.66,56132.48,57942.62,56132.48,1.9335,11,-1.272,-1272.34
2025-06-19 03:45,2025-06-26 03:45,NIFTY,long,win,24845.62,24625.92,25394.86,25394.86,4.5517,35,2.364,2363.79
2025-06-19 06:45,2025-06-26 05:45,BANKNIFTY,long,win,55681.13,55185.53,56920.13,56920.13,2.0178,34,2.365,2364.68
2025-07-02 08:45,2025-07-11 03:45,NIFTY,long,loss,25472.28,25290.32,25927.18,25290.32,5.4958,44,-1.348,-1348.47
2025-07-02 08:45,2025-07-18 03:45,BANKNIFTY,long,loss,57045.56,56528.5,58338.2,56528.5,1.934,79,-1.274,-1274.32
2025-08-11 09:45,2025-08-18 03:45,BANKNIFTY,short,loss,55395.84,55957.19,53992.46,55957.19,1.7814,22,-1.248,-1248.21
2025-08-13 08:45,2025-08-18 03:45,NIFTY,short,loss,24602.44,24828.58,24037.11,24828.58,4.4221,9,-1.273,-1273.49
2025-09-02 05:45,2025-09-08 08:45,BANKNIFTY,short,loss,53989.94,54486.72,52747.99,54486.72,2.013,31,-1.273,-1273.2
2025-09-19 09:45,2025-09-22 08:45,NIFTY,long,loss,25365.18,25210.54,25751.75,25210.54,6.467,6,-1.409,-1408.59
2025-10-14 07:45,2025-10-17 04:45,BANKNIFTY,long,win,56429.05,55934.24,57666.08,57666.08,2.021,18,2.363,2362.65
2025-10-24 08:45,2025-11-06 03:45,NIFTY,long,loss,25812.4,25553.54,26459.56,25553.54,3.8631,51,-1.248,-1247.79
2025-11-25 03:45,2025-12-09 03:45,NIFTY,long,loss,26031.61,25838.74,26513.79,25838.74,5.1847,70,-1.336,-1335.92
2025-11-21 04:45,2026-01-02 09:45,BANKNIFTY,long,win,58973.92,58499.09,60160.99,60160.99,2.106,208,2.35,2350.46
2026-01-28 03:45,2026-02-03 03:45,NIFTY,short,loss,25235.48,25594.31,24338.39,25594.31,2.7868,35,-1.177,-1177.32
2026-03-17 09:45,2026-03-23 03:45,BANKNIFTY,short,win,54811.33,55907.64,52070.55,52070.55,0.9122,22,2.441,2440.5
2026-03-17 09:45,2026-03-23 04:45,NIFTY,short,win,23547.02,23952.75,22532.71,22532.71,2.4647,23,2.431,2430.86
2026-03-25 06:45,2026-03-30 08:45,BANKNIFTY,short,win,53873.85,55272.67,50376.79,50376.79,0.7149,16,2.454,2454.28
2026-04-06 09:45,2026-04-08 03:45,NIFTY,short,loss,22947.97,23408.64,21796.29,23408.64,2.1707,8,-1.126,-1126.04
2026-04-23 05:45,2026-04-24 03:45,BANKNIFTY,long,loss,56599.09,55866.13,58431.47,55866.13,1.3643,5,-1.192,-1191.55
2026-05-22 04:45,2026-05-25 03:45,BANKNIFTY,short,loss,53955.46,54837.24,51751.02,54837.24,1.1341,6,-1.154,-1154.47
2026-06-10 07:45,2026-06-12 08:45,NIFTY,short,loss,23305.49,23572.6,22637.72,23572.6,3.7438,15,-1.22,-1219.63
